source_kind,graph_id,family,pair,contract_type,scenario,num_levels,sum_options,max_options_per_level,pattern,has_multi_level,has_multi_option,disable_steps_worst,deploy_gas,best_claim_gas,worst_claim_gas,refund_gas,ok,source_path
random_analysis,random_v1_107,random_v1,E->F|evm|fund:ef,CTLCMultipleEdges,pair_summary,2,3,2,multi-level+multi-option,True,True,1,1446788,71629,133204,112464,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_107/analysis.csv
random_analysis,random_v1_107,random_v1,F->A|evm|fund:fa,CTLCOnly,pair_summary,1,1,1,single-level,False,False,0,1100987,64620,64620,59561,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_107/analysis.csv
random_analysis,random_v1_107,random_v1,F->D|evm|fund:fd,CTLCMultipleEdges,pair_summary,1,2,2,single-level+multi-option,False,True,0,1285286,75948,75948,59539,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_107/analysis.csv
random_analysis,random_v1_108,random_v1,B->C|evm|fund:bc,CTLCMultipleEdges,pair_summary,1,2,2,single-level+multi-option,False,True,0,1285262,75948,75948,59539,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_108/analysis.csv
random_analysis,random_v1_108,random_v1,C->D|evm|fund:cd,CTLCOnly,pair_summary,1,1,1,single-level,False,False,0,1123899,68747,68747,59561,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_108/analysis.csv
random_analysis,random_v1_108,random_v1,D->A|evm|fund:da,CTLCOnly,pair_summary,1,1,1,single-level,False,False,0,1100987,64620,64620,59561,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_108/analysis.csv
random_analysis,random_v1_11,random_v1,B->C|evm|fund:bc,CTLCMultipleEdges,pair_summary,1,2,2,single-level+multi-option,False,True,0,1285262,75948,75948,59539,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_11/analysis.csv
random_analysis,random_v1_11,random_v1,C->D|evm|fund:cd,CTLCOnly,pair_summary,1,1,1,single-level,False,False,0,1123899,68747,68747,59561,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_11/analysis.csv
random_analysis,random_v1_11,random_v1,D->A|evm|fund:da,CTLCOnly,pair_summary,1,1,1,single-level,False,False,0,1100987,64620,64620,59561,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_11/analysis.csv
random_analysis,random_v1_110,random_v1,B->C|evm|fund:bc,CTLCOnly,pair_summary,1,1,1,single-level,False,False,0,1146787,72874,72874,59561,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_110/analysis.csv
random_analysis,random_v1_110,random_v1,C->D|evm|fund:cd,CTLCOnly,pair_summary,1,1,1,single-level,False,False,0,1123899,68747,68747,59561,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_110/analysis.csv
random_analysis,random_v1_110,random_v1,D->A|evm|fund:da,CTLCOnly,pair_summary,1,1,1,single-level,False,False,0,1100987,64620,64620,59561,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_110/analysis.csv
random_analysis,random_v1_112,random_v1,B->C|evm|fund:bc,CTLCMultipleEdges,pair_summary,2,3,2,multi-level+multi-option,True,True,1,1607172,84598,141831,112464,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_112/analysis.csv
random_analysis,random_v1_112,random_v1,C->D|evm|fund:cd,CTLCMultipleEdges,pair_summary,2,3,2,multi-level+multi-option,True,True,1,1538424,80267,137535,112464,True,/home/aothuatgiadp/blockchain/project/CTLC-Implementation/paper2/data/raw/random_runs/random_v1_112/analysis.csv
